date_time_month,sentiment_weighted_agg_carosia_by_month_with_op,sentiment_agg_carosia_by_month_with_op,sentiment_agg_picault_by_month_with_op,sentiment_weighted_agg_carosia_by_month_with_sentilex,sentiment_agg_carosia_by_month_with_sentilex,sentiment_agg_picault_by_month_with_sentilex,sentiment_weighted_agg_carosia_by_month_with_vader,sentiment_agg_carosia_by_month_with_vader,sentiment_agg_picault_by_month_with_vader,normalized_sentiment_weighted_agg_carosia_by_month_with_op,normalized_sentiment_agg_carosia_by_month_with_op,normalized_sentiment_agg_picault_by_month_with_op,normalized_sentiment_weighted_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_carosia_by_month_with_sentilex,normalized_sentiment_agg_picault_by_month_with_sentilex,normalized_sentiment_weighted_agg_carosia_by_month_with_vader,normalized_sentiment_agg_carosia_by_month_with_vader,normalized_sentiment_agg_picault_by_month_with_vader
2014-06-01,-0.1426470588235294,-0.11800172265288544,-0.23875800333597366,-0.25381818181818183,-0.2154233025984912,-0.6098614531913933,-0.8751518095700753,-0.8657142857142858,-42.482965479749936,-1.0031,-1.3812,-1.1641,-1.3023,-1.8479,-1.7775,-0.7074,-0.7754,-0.7367
2014-07-01,0.0981491867638811,0.0798990748528175,0.18674845477727298,-0.1444866920152091,-0.07701637355973318,-0.10727251422052494,-0.8261921216309606,-0.815908600991593,-40.60956512903881,-0.0126,-0.0696,-0.3018,-0.8973,-1.0161,-0.686,-0.5255,-0.5564,-0.5768
2014-08-01,0.10380070265091025,0.10018552875695733,0.3103052359227887,0.251066422912858,0.2020109689213894,0.5874306169293148,-0.8227960819234195,-0.8236130867709816,-42.662756831018164,0.0106,0.0649,-0.0514,0.5679,0.6607,0.8227,-0.5128,-0.5903,-0.752
2014-09-01,-0.036250861474844936,0.01591571396547859,-0.0039627782474082164,0.45440679812615753,0.4710238248551191,1.6029307153844645,-0.8731096644967451,-0.8688571840322813,-44.120025836184624,-0.5655,-0.4936,-0.6882,1.3211,2.2773,3.028,-0.6998,-0.7892,-0.8764
2014-10-01,0.15497349547864048,0.10124333925399645,0.2714211464921171,0.15770609318996415,0.0906288532675709,0.37600321573313694,-0.8475970558522153,-0.8290905012896714,-41.824228202140056,0.2211,0.0719,-0.1302,0.222,-0.0086,0.3635,-0.605,-0.6144,-0.6804
2014-11-01,0.07663197729422895,0.04325130499627144,0.16034597628539238,0.14960629921259844,-0.047660311958405546,-0.0762488454793562,-0.8986453562030992,-0.9106693507800705,-44.33468505859375,-0.1011,-0.3125,-0.3553,0.192,-0.8397,-0.6187,-0.7947,-0.9731,-0.8947
2014-12-01,-0.16310372129849565,-0.10473457675753228,-0.2234293541045446,-0.11904761904761904,-0.12629533678756477,-0.3468043345508805,-0.8833716979063905,-0.8707865168539326,-44.333797321658516,-1.0872,-1.2933,-1.133,-0.8031,-1.3122,-1.2062,-0.738,-0.7977,-0.8946
2015-01-01,0.0163727959697733,0.05238828967642527,0.2391038341684912,0.2562814070351759,0.2880354505169867,0.5948472495836259,-0.8729193805181648,-0.8838276836158192,-45.469078317373466,-0.349,-0.2519,-0.1956,0.5872,1.1777,0.8388,-0.6991,-0.8551,-0.9915
2015-02-01,0.044616299821534804,0.08009909165978531,0.3317527861768347,-0.007138221933809215,0.0009569377990430622,-0.007131233663288165,-0.7775902801214984,-0.8001317812431364,-41.97697151424288,-0.2328,-0.0683,-0.0079,-0.3886,-0.5475,-0.4686,-0.3448,-0.487,-0.6935
2015-03-01,-0.07534883720930233,0.07503410641200546,0.20567738598429136,-0.049720118538030954,-0.014787430683918669,-0.02173149802930785,-0.8546018861167483,-0.8293129263017801,-41.93673593350383,-0.7263,-0.1018,-0.2634,-0.5463,-0.6421,-0.5003,-0.631,-0.6154,-0.69
2015-04-01,0.38177182919056724,0.4171779141104294,0.9511044594010436,0.37659187386294724,0.44379562043795623,0.7540416103480769,-0.7399370548285572,-0.6953349546761,-38.25264506565015,1.154,2.1658,1.2473,1.0328,2.1137,1.1845,-0.2049,-0.0262,-0.3756
2015-05-01,0.14963119072708114,-0.02608695652173913,-0.15567914717214976,0.25824175824175827,0.39415041782729804,0.7624587483498376,-0.8380697050938338,-0.8420418974235493,-43.3458901906731,0.1991,-0.772,-0.9957,0.5944,1.8154,1.2028,-0.5696,-0.6713,-0.8103
2015-06-01,0.045491470349309504,0.107386066003143,0.21549399398576213,-0.0049057578104828295,0.05218800648298217,0.18477570203175878,-0.772685795396938,-0.7827564505978603,-40.26057432020485,-0.2292,0.1126,-0.2435,-0.3803,-0.2397,-0.0518,-0.3266,-0.4106,-0.547
2015-07-01,0.33483348334833485,0.3957495692130959,1.35028580462017,-0.10316226023846553,-0.07474747474747474,-0.03311720899888127,-0.8957291815454935,-0.9037009063444109,-46.54128378378378,0.9609,2.0237,2.0562,-0.7443,-1.0025,-0.525,-0.7839,-0.9425,-1.083
2015-08-01,-0.052357965094689936,0.040339702760084924,0.13408321219110975,0.32354048964218457,0.419583967529173,0.7896986006291005,-0.8730791788856305,-0.8516159847158096,-47.073618929786576,-0.6317,-0.3318,-0.4085,0.8363,1.9682,1.2619,-0.6997,-0.7134,-1.1285
2015-09-01,0.3176680547293278,0.41496598639455784,1.2337849612020164,-0.016800584368151936,-0.020429544264012573,0.05431544769584172,-0.9154064809550881,-0.9079846641106851,-45.09650932865572,0.8903,2.1511,1.8201,-0.4244,-0.676,-0.3351,-0.857,-0.9613,-0.9597
2015-10-01,0.012454212454212455,0.1217292377701934,0.5582528177873102,0.00853658536585366,-0.021671826625386997,0.005707595396444899,-0.8250786163522013,-0.847205707491082,-43.8459197980931,-0.3651,0.2077,0.4511,-0.3305,-0.6835,-0.4407,-0.5213,-0.694,-0.853
2015-11-01,-0.03670242800677583,-0.06418219461697723,0.29469659250943575,-0.025401762571280455,-0.020833333333333332,-0.07384015317060603,-0.7865628042843232,-0.8066795118818241,-42.57647926267281,-0.5673,-1.0245,-0.083,-0.4562,-0.6785,-0.6134,-0.3782,-0.5158,-0.7446
2015-12-01,-0.08279506752789195,0.02418682235195997,0.1297934819876205,-0.06714200831847891,-0.06060606060606061,-0.08820286016341584,-0.8894500561167228,-0.8838442037335792,-47.5763908606921,-0.7569,-0.4388,-0.4172,-0.6108,-0.9175,-0.6446,-0.7605,-0.8552,-1.1714
2016-01-01,-0.0015128593040847202,-0.0854449027695934,-0.1808557251479949,-0.13542844223377798,0.019843101061375174,-0.14926094166952955,-0.9006533757748366,-0.8652833200319234,-43.00384638508943,-0.4226,-1.1654,-1.0467,-0.8638,-0.434,-0.7772,-0.8022,-0.7735,-0.7811
2016-02-01,-0.2723404255319149,-0.26290400385914137,-0.7316776248924641,0.21834625322997417,0.25569620253164554,0.28803854430614034,-0.884,-0.8615444617784711,-41.324066390041494,-1.5365,-2.3415,-2.163,0.4467,0.9833,0.1725,-0.7403,-0.7571,-0.6378
