,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2008-12-17 12:30:54+00:00,casagrande,Calculando o IGPM acumulado do ano.,Cristiano Casagrande,"Analista de mídia social, engajamento e gestão de imagem",False,3082,242,8207,5867,34,208,"Canela, RS, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
1,2008-07-18 16:04:59+00:00,viva_,algum economista disponível pra me dar um help? Preciso descobrir o IGPM de maio/07 a abril/08. (site da FGV está em economês).,Viva,"Às vezes, sociedade. Às vezes, alternativa.",False,432,380,11446,877,28,271,Rio de Janeiro,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
2,2008-06-25 14:12:54+00:00,brunofontes,"IGPM dobrou esse mês, praticamente nenhum fundo está sequer alcançando a inflação em 12 meses... To preocupado...",Bruno Fontes,,False,947,345,23876,1053,32,339,Rio de Janeiro,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
