,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2016-12-02 12:30:18+00:00,carloslopesjorn,"O ministro Henrique Meirelles, recebe, às 10h30, o diretor executivo do FMI, Alexandre Tombini .",Carlos Lopes,Jornalista com atuação na área de informação e análise,False,494,340,28078,4770,26,135,"Brasilia, DF",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
1,2016-12-01 12:18:18+00:00,carloslopesjorn,"O presidente do Banco Central, Ilan Goldfajn, se reúne, pela manhã, em Brasília, com o diretor-executivo do FMI, Alexandre Tombini.",Carlos Lopes,Jornalista com atuação na área de informação e análise,False,494,340,28078,4770,26,135,"Brasilia, DF",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
2,2016-10-06 00:31:05+00:00,AlvarezZeni,"TCU CONDENA GUIDO MANTEGA !!! Condenados tb : Jorge Hereda, Luciano Coutinho, Aldemir Bendine e Alexandre Tombini  https://t.co/DVLj6WeRtB",Zena 👉 3 8,Maligno STF derretendo com a Verdade de Jesus Cristo,False,3241,3641,190687,153468,8,4869,,False,['http://www.oantagonista.com/posts/tcu-condena-guido'],['https://t.co/DVLj6WeRtB'],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
3,2016-10-05 22:29:48+00:00,ClaudaGAlmeida,"RT Ex-ministro e ex-secretário ainda foram condenados a pagar multa.
Corte também puniu outros seis gestores, entre eles Alexandre Tombini",Claudecir Almeida,,False,648,60,890361,0,47,1,,False,[],[],0,0,0,0,pt,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",,,,
4,2016-09-05 00:15:50+00:00,vofreire,@o_antagonista não seria Alexandre Tombini?,valdinei freire,,False,41,297,13354,13791,0,325,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,"[User(username='o_antagonista', id=2880932962, displayname='O Antagonista', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2016-06-24 23:39:55+00:00,vicentenunes,Ministério Público do TCU pede a inabilitaçao de Alexandre Tombini e Túlio Maciel para exercerem cargos públicos.,Vicente Nunes,Jornalista/ CorreioBraziliense,False,19094,3796,20187,37670,325,1169,Brasília/ Brasil,False,[],[],1,6,7,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
6,2016-06-16 21:40:31+00:00,haroldogloor,Alexandre Tombini errou em sua comunicação durante o tempo em que ficou no BC e comprometeu a eficiência da política https://t.co/lGz53EaVBz,Haroldo Gloor,Freedom,False,375,14,90348,89230,14,421,,False,['https://twitter.com/thaisheredia/status/743465639545806848'],['https://t.co/lGz53EaVBz'],1,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,https://twitter.com/thaisheredia/status/743465639545806848,
7,2016-06-13 21:06:17+00:00,BancoCentralBR,Confira os discursos de Alexandre Tombini e Ilan Goldfajn na cerimônia de transmissão do cargo de Presidente do BC https://t.co/bNFoxww6Us,Banco Central BR,Fique por dentro de tudo que o BC publica: linktr.ee/bancocentraldo…,True,453560,95,9612,350,1894,4289,Brasilia - DF,False,['http://goo.gl/a5Bk1P'],['https://t.co/bNFoxww6Us'],5,4,3,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
8,2016-06-13 18:49:43+00:00,AgenciaEstado,"Alexandre Tombini, ex-presidente do @BancoCentralBR, disse que o balanço atual de risco para a inflação permanece desafiador.",Broadcast,O melhor conteúdo para a sua tomada de decisão.,False,76991,604,53791,744,861,6531,"São Paulo, Brasil",False,[],[],0,1,1,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='BancoCentralBR', id=222157159, displayname='Banco Central BR', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2016-06-13 18:47:54+00:00,BancoCentralBR,"Alexandre Tombini: ""apesar das dificuldades econômicas, o SFN continua sólido, fator crucial para a nossa economia"" https://t.co/Qaf1akZ8UY",Banco Central BR,Fique por dentro de tudo que o BC publica: linktr.ee/bancocentraldo…,True,453560,95,9612,350,1894,4289,Brasilia - DF,False,['http://goo.gl/yzLMYJ'],['https://t.co/Qaf1akZ8UY'],0,4,5,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
