,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2015-12-21 18:40:42+00:00,pedro_alem,"@denisebarbosa Ilan Goldfajn já falou sobre esses +0,5% do PIB ao ano do atual sistema de previdência. Paro por aqui para cansar pouco ;)",Pedro Alem,"Perfil 100% pessoal. Tudo o que disser aqui representa exclusivamente as minhas opiniões. Curtidas e RT não são endosso. 
Influenciador de mim mesmo",False,2222,1320,11564,162481,23,973,"Rio de Janeiro, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,"[User(username='denisebarbosa', id=30904559, displayname='Denise Barbosa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2015-12-16 17:11:14+00:00,ddlwill,"Itaú prevê retração de 2,8% do PIB e dólar a R$ 4,50 em 2016: Para o economista chefe do banco, Ilan Goldfajn,... https://t.co/OvZKnbyMHe",Ausente/DPS Respondo,OVER THE RAINBOW ♫,False,887,496,194457,47,23,2,,False,['http://bit.ly/1UzSA1A'],['https://t.co/OvZKnbyMHe'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
2,2015-12-15 16:30:05+00:00,ToccatoQlik,"Economia: o que temos para 2016, segundo Ilan Goldfajn. https://t.co/r49NkFM4Yp https://t.co/K6v7UmrgU8",Toccato QlikView,Toccato é única Elite Master Reseller Qlik no Brasil. Eleita nos dois últimos anos como a Melhor e Maior Master Reseller do Mundo.,False,320,81,908,0,6,109,Florianópolis,False,['http://bit.ly/1Nlscqx'],['https://t.co/r49NkFM4Yp'],0,1,1,0,pt,"<a href=""http://rdstation.com.br"" rel=""nofollow"">RD Station</a>","[Photo(previewUrl='https://pbs.twimg.com/media/CWR7S9iW4AA1Uxn?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/CWR7S9iW4AA1Uxn?format=jpg&name=large', altText=None)]",,,
3,2015-12-09 15:01:48+00:00,therezafontoura,@eikebatista  Ilan Goldfajn diz q as incertezas políticas e econômicas do Brasil “estão entrelaçadas” e devem continuar em 2016. Isso,Thereza Fontoura,"Economista , botafoguense , carioca",False,366,194,932657,374288,0,137563,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='eikebatista', id=119064111, displayname='Eike Batista Oficial', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2015-12-08 13:18:30+00:00,thaisheredia,Não tem coelho nem cartola que salve a economia brasileira - No Blog - Ilan Goldfajn https://t.co/HA9Czlx4G4 https://t.co/grUdm0KVnF,thais herédia,Âncora do #CNNMoney e da #CNNRadio na @cnnbrasil,True,487946,1921,31996,42346,709,3175,são paulo - sp,False,['http://g1.globo.com/economia/blog/thais-heredia/post/nao-havera-solucao-magica-para-resolver-o-que-nao-fizemos-ate-agora-diz-goldfajn.html'],['https://t.co/HA9Czlx4G4'],3,11,24,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","[Photo(previewUrl='https://pbs.twimg.com/media/CVtMUeHWcAAvho7?format=png&name=small', fullUrl='https://pbs.twimg.com/media/CVtMUeHWcAAvho7?format=png&name=large', altText=None)]",,,
5,2015-12-03 11:21:16+00:00,MirandaSa_,"Ilan Goldfajn: “2015, o ano que não terminou - As contas fiscais não estão fechadas, nem a recessão acabou”.",Miranda Sá,Jornalista.,False,36445,742,451794,393,228,21472,Rio de Janeiro-RJ,False,[],[],0,4,0,0,pt,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,
6,2015-12-01 21:58:43+00:00,luciano_lao,"Retweeted Blog do Noblat (@BlogdoNoblat):

2015, o ano que não terminou , por Ilan Goldfajn, O Globo: 
Ilan... https://t.co/SyVbAdNWyh",luciano almeida,"Marido, pai, advogado, escritor.",False,3148,2039,219240,134894,41,7578,Goiânia - Brasil,False,['http://fb.me/4mnaYKN2w'],['https://t.co/SyVbAdNWyh'],0,0,0,0,pt,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,"[User(username='BlogdoNoblat', id=16794066, displayname='Blog do Noblat', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2015-12-01 21:45:37+00:00,minutoaminuto,"Mais um especialista revisa sua projeção para o PIB: Ilan Goldfajn, economista-chefe do Itaú Unibanco, agora p... https://t.co/RssjHjixKt",Minuto a Minuto,Fique por dentro das principais notícias que estão rolando na web em tempo real.,False,619,24,111838,13,7,7312,Brasil,False,['http://glo.bo/1PsRQMt'],['https://t.co/RssjHjixKt'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
8,2015-12-01 20:17:50+00:00,juaecelia,"2015, o ano que não terminou , por Ilan Goldfajn, O Globo: 
Ilan Goldfajn, O Globo
O ano de 2015 vai... https://t.co/dJPusMlD2a timbeta",juaeceliatimbeta,,False,920,34,44636,1,11,3,,False,['http://glo.bo/1HEqfoO'],['https://t.co/dJPusMlD2a'],0,0,0,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
9,2015-12-01 20:17:49+00:00,BlogdoNoblat,"2015, o ano que não terminou , por Ilan Goldfajn, O Globo: 
Ilan Goldfajn, O Globo
O ano de 2015 vai demorar... https://t.co/LWHW9e3xbe",Blog do Noblat,"Acompanhe as atualizações do blog do jornalista Ricardo Noblat, há 18 anos no ar.",True,1201527,449,342524,807,4916,41823,,False,['http://glo.bo/1MVbbCe'],['https://t.co/LWHW9e3xbe'],1,2,8,0,pt,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",,,,
